code: USDA_LM_PK602_CUTOUT_PRIMAL
name: Daily USDA pork cutout and primal values
description: "Daily pork cutout and primal values from the USDA LM_PK602
  report published by the USDA Agricultural Marketing Service (AMS).
  Historical figures from USDA can be verified using the LMR datamart located 
  at http://mpr.datamart.ams.usda.gov.
  All pricing is on a per CWT (100 lbs) basis."
reference_url: http://www.ams.usda.gov/mnreports/lm_pk602.txt
frequency: daily
private: false
---
Date,Carcass Value,Loin Value,Butt Value,Picnic Value,Rib Value,Ham Value,Belly Value
05/22/2014,113.78,115.22,135.93,93.36,158.89,99.47,149.29
05/21/2014,114.92,115.84,137.06,94.43,162.97,102.84,147.94
05/20/2014,116.71,116.47,135.30,95.91,162.46,103.82,156.68
05/19/2014,114.67,116.03,136.57,90.77,158.61,103.03,149.72
05/16/2014,114.19,116.90,134.28,94.90,159.06,100.58,147.87
05/15/2014,113.23,114.14,133.18,95.51,156.96,104.63,141.15
05/14/2014,112.92,115.67,133.68,93.98,158.03,100.41,142.63
05/13/2014,111.62,115.52,132.81,93.05,150.43,101.99,136.29
05/12/2014,113.82,117.00,131.71,94.36,153.88,101.32,147.22
05/09/2014,111.73,113.77,133.24,95.50,146.84,102.20,139.47
05/08/2014,112.08,111.61,138.24,96.94,146.61,102.49,139.74
05/07/2014,111.97,114.28,137.82,96.76,150.63,99.59,138.37
05/06/2014,112.29,112.85,140.41,100.91,151.74,96.56,143.17
05/05/2014,116.02,119.30,141.77,98.07,147.24,101.32,150.66
05/02/2014,113.97,116.19,145.62,96.50,149.11,99.36,143.14
05/01/2014,113.78,119.94,146.15,97.58,145.63,98.82,136.30
04/30/2014,115.80,121.72,146.97,100.89,154.41,99.01,140.15
04/29/2014,115.07,121.91,147.57,100.37,149.84,97.98,137.40
04/28/2014,118.41,124.58,145.52,103.69,150.53,99.65,150.62
04/25/2014,116.13,123.26,145.24,100.58,151.17,99.17,142.51
04/24/2014,116.70,121.77,143.01,102.29,153.35,100.87,146.29
04/23/2014,117.41,125.36,143.07,105.21,153.29,98.09,147.03
04/22/2014,117.09,123.31,141.95,103.22,151.45,96.91,152.87
04/21/2014,119.42,124.63,140.72,102.46,149.10,99.14,163.09
04/18/2014,121.34,127.10,137.69,112.44,149.47,99.65,165.49
04/17/2014,120.08,122.61,135.08,106.20,151.80,98.94,171.31
04/16/2014,121.16,124.67,135.73,105.40,156.25,98.27,174.66
04/15/2014,121.73,121.31,134.48,105.95,153.98,98.88,184.29
04/14/2014,124.41,124.42,134.28,107.19,160.10,99.56,191.30
04/11/2014,124.76,124.03,134.30,108.07,158.25,101.01,192.57
04/10/2014,124.47,124.21,135.81,105.10,159.48,100.82,190.08
04/09/2014,126.95,127.84,136.55,108.37,166.21,98.69,198.79
04/08/2014,129.84,124.93,137.57,107.53,162.51,111.82,202.94
04/07/2014,129.85,127.43,138.61,106.53,161.28,108.62,203.53
04/04/2014,130.99,127.69,138.24,112.56,162.23,114.21,197.93
04/03/2014,129.91,123.59,141.31,105.48,160.19,114.22,202.32
04/02/2014,133.74,131.50,143.95,108.08,171.69,116.43,202.47
04/01/2014,132.63,130.88,144.71,107.03,170.88,116.29,197.91
03/31/2014,132.58,133.14,147.01,106.92,170.00,112.20,197.96
03/28/2014,131.32,133.98,147.58,100.72,171.92,113.06,191.38
03/27/2014,130.75,133.61,150.72,103.85,169.33,113.26,185.69
03/26/2014,131.91,137.67,151.25,102.44,173.72,108.14,191.81
03/25/2014,131.39,138.32,152.11,100.79,175.89,109.31,188.26
03/24/2014,131.64,142.80,152.68,101.39,173.34,107.40,185.42
03/21/2014,131.50,147.10,150.45,98.38,173.91,104.71,185.13
03/20/2014,131.26,146.16,150.05,96.78,173.75,105.23,184.51
03/19/2014,130.63,147.49,149.34,97.17,176.09,103.55,181.07
03/18/2014,130.36,145.60,149.43,95.70,173.38,107.93,178.01
03/17/2014,126.88,145.27,144.24,93.10,173.20,95.18,180.26
03/14/2014,124.75,137.43,141.58,93.05,167.43,97.92,179.73
03/13/2014,121.47,136.51,137.42,89.29,167.60,94.63,171.21
03/12/2014,120.60,135.03,132.83,86.95,164.21,95.15,172.08
03/11/2014,117.53,130.42,129.91,84.83,162.59,93.58,166.01
03/10/2014,114.94,128.64,126.15,82.62,157.88,91.85,162.90
03/07/2014,111.99,124.08,122.17,79.90,155.49,91.22,158.54
03/06/2014,110.14,122.40,118.71,76.55,154.77,90.33,155.30
03/05/2014,109.05,121.20,117.26,78.01,152.51,88.42,153.67
03/04/2014,107.54,118.60,115.06,74.79,150.68,87.93,153.53
03/03/2014,106.27,118.04,112.41,74.76,149.85,86.26,151.76
02/28/2014,105.11,115.50,112.09,72.68,151.08,86.06,149.74
02/27/2014,102.90,112.04,108.90,72.47,145.60,84.27,147.94
02/26/2014,100.60,108.46,109.05,71.53,146.87,80.90,144.29
02/25/2014,100.61,108.76,108.44,70.97,150.98,84.49,138.89
02/24/2014,99.32,108.77,106.52,69.13,147.47,82.07,138.08
02/21/2014,98.03,106.21,106.50,69.90,147.30,82.23,133.23
02/20/2014,97.68,107.54,105.77,70.37,146.80,79.31,133.91
02/19/2014,94.96,102.01,104.76,66.82,143.88,78.67,130.83
02/18/2014,95.91,101.96,104.62,66.63,145.15,81.48,132.37
02/17/2014,95.39,101.56,104.28,65.96,140.97,82.05,131.50
02/14/2014,94.33,97.78,102.78,65.15,141.27,82.45,131.37
02/13/2014,95.17,103.55,102.47,66.20,141.47,82.63,126.58
02/12/2014,93.97,101.07,101.80,66.60,145.44,77.52,129.49
02/11/2014,92.59,97.68,101.42,66.15,146.27,80.29,122.93
02/10/2014,92.92,98.02,100.22,64.31,142.87,81.25,125.10
02/07/2014,92.20,97.24,99.17,64.40,139.32,81.64,123.15
02/06/2014,90.78,100.08,97.06,62.65,145.87,74.90,121.45
02/05/2014,91.43,100.00,98.75,66.00,146.25,75.76,120.28
02/04/2014,91.52,98.05,96.53,64.86,143.80,79.16,120.30
02/03/2014,90.55,98.91,96.76,62.97,140.74,76.53,120.32
01/31/2014,89.30,96.19,96.43,61.15,142.21,76.21,118.51
01/30/2014,91.49,100.00,96.27,63.06,146.52,78.98,119.71
01/29/2014,89.87,98.47,97.12,64.77,146.76,74.71,115.97
01/28/2014,90.09,95.82,97.45,67.14,143.46,77.49,115.95
01/27/2014,89.77,96.16,98.50,64.60,139.20,77.55,116.44
01/24/2014,88.11,95.96,96.02,64.42,140.69,75.11,112.78
